Name,street add,zip,Lat,Lon,Category\
China Wok Brentwood,4060 Brownsville Rd,15227,40.366385,-79.981375,Take Out\
Chipotle Mexican Grill #863,3619 Forbes Ave,15213,40.441145,-79.958028,NO Dollar Menu\
Chipotle Mexican Grill #877,310 McHolme Dr,15275,40.448506,-80.174236,NO Dollar Menu\
Chipotle Mexican Grill #1089,509 Clairton Blvd,15236,40.33329,-79.946259,NO Dollar Menu\
Chipotle Mexican Grill #1146,4800 Baum Blvd,15213,40.454233,-79.947422,NO Dollar Menu\
Chipotle Mexican Grill #1264,4861 McKnight Rd,15237,40.529066,-80.008721,NO Dollar Menu\
Chipotle Mexican Grill #1533,211 Forbes Av,15222,40.440614,-80.001898,NO Dollar Menu\
Chipotle Mexican Grill #1803,1614 Cochran Rd,15220,40.391701,-80.059861,NO Dollar Menu\
Chipotle Mexican Grill #1896,1720 Washington Rd,15241,40.348144,-80.053825,NO Dollar Menu\
Chipotle Mexican Grill #2126,5986 Centre Av,15206,40.463732,-79.920677,NO Dollar Menu\
Chipotle Mexican Grill #2148,11359 Perry Highway,15090,40.623458,-80.053834,NO Dollar Menu\
Chipotle Mexican Grill #2268,8870 Covenant Dr,15237,40.568912,-80.021814,NO Dollar Menu\
Chipotle Mexican Grill #2347,3009 Washington Pike,15017,40.35433,-80.114791,NO Dollar Menu\
Chipotle Mexican Grill #2347,4137 William Penn Hwy,15146,40.439155,-79.766931,NO Dollar Menu\
Chipotle Mexican Grill #2655,1027 Freeport Rd,15238,40.48807,-79.885568,NO Dollar Menu\
Coffee Tree Roasters @ Duquesne Univ. Law,900 Locust St,15282,40.436613,-79.991948,Breakfast/Drink/Other\
Cold Stone Creamery,6509 Robinson Center Dr,15205,40.455223,-80.162075,Breakfast/Drink/Other\
Cold Stone Creamery #21109,5800 Forbes Ave,15217,40.43786,-79.922796,Breakfast/Drink/Other\
Commonplace Coffee,1501 Buena Vista Rd,15212,40.457034,-80.014819,Breakfast/Drink/Other\
Cool Beans Coffee Co,1 Allegheny Center Mall,15212,40.453316,-80.004347,Breakfast/Drink/Other\
Crazy Mocha,531 Beaver St,15143,40.539663,-80.178962,Breakfast/Drink/Other\
Crazy Mocha,2 North Ave,15212,40.455617,-80.006868,Breakfast/Drink/Other\
Crazy Mocha,4 Gateway Center,15222,40.440537,-80.005455,Breakfast/Drink/Other\
Crazy Mocha,801 Liberty Ave,15222,40.442949,-79.998918,Breakfast/Drink/Other\
Crazy Mocha,420 Ft Duquesne Blvd,15222,40.447526,-79.993398,Breakfast/Drink/Other\
Crazy Mocha,2100 Murray Ave,15217,40.433523,-79.923269,Breakfast/Drink/Other\
Crazy Mocha - Liberty Center,1001 Liberty Ave,15222,40.444209,-79.994669,Breakfast/Drink/Other\
Crazy Mocha (Grant St T Station),500 Grant St,15219,40.439678,-79.995932,Breakfast/Drink/Other\
Crazy Mocha / One Mellon Center,500 Grant St,15219,40.439678,-79.995932,Breakfast/Drink/Other\
Crazy Mocha #29,2775 Mosside Blvd,15146,40.436464,-79.759886,Breakfast/Drink/Other\
Crazy Mocha #30,5 Station Sq Dr,15219,40.430999,-80.00162,Breakfast/Drink/Other\
Crazy Mocha #38,309 Smithfield St,15222,40.438508,-79.999956,Breakfast/Drink/Other\
Crazy Mocha Coffee,429 Forbes Ave,15219,40.439152,-79.997854,Breakfast/Drink/Other\
Crazy Mocha Coffee #39,2729 Carson St,15203,40.426798,-79.96651,Breakfast/Drink/Other\
Crazy Mocha Coffee Co,1 PPG Place,15222,40.439998,-80.003795,Breakfast/Drink/Other\
Crazy Mocha Coffee Co,225 Ross St,15219,40.437,-79.997091,Breakfast/Drink/Other\
Crazy Mocha Coffee Co,207 Oakland Ave,15213,40.441362,-79.956696,Breakfast/Drink/Other\
Crazy Mocha Coffee Co,4525 Liberty Ave,15224,40.462925,-79.950817,Breakfast/Drink/Other\
Crazy Mocha Coffee Co,4400 Forbes Ave,15213,40.442645,-79.950559,Breakfast/Drink/Other\
Crazy Mocha Coffee Co,5830 Ellsworth Ave,15232,40.456294,-79.930169,Breakfast/Drink/Other\
Crazy Mocha Coffee Co #31,5607 Baum Blvd,15232,40.4580616,-79.9353176,Breakfast/Drink/Other\
Crazy Mocha Coffee Company,4030 Butler St,15201,40.46926,-79.961316,Breakfast/Drink/Other\
Crazy Mocha Coffee Company,9104 Babcock Blvd,15237,40.5731154,-80.013686,Breakfast/Drink/Other\
Dairy Queen,4276 Ohio River Blvd,15202,40.48785,-80.056054,Dollar Menu\
Dairy Queen,3002 Babcock Blvd,15237,40.514473,-80.005981,Dollar Menu\
Dairy Queen,1223 E Carson Street,15203,40.428966,-79.985476,Dollar Menu\
Dairy Queen,1120 Lincoln Hwy,15137,40.3774004,-79.8020845,Dollar Menu\
Dairy Queen / Orange Julius #42442,268 Settlers Ridge Center Dr,15205,40.440641,-80.149132,Dollar Menu\
Dairy Queen & Orange Julius,100 Robinson Center Dr,15205,40.454124,-80.161164,Dollar Menu\
Dairy Queen #13590,4846 Library Rd,15102,40.346429,-80.027633,Dollar Menu\
Dairy Queen #13613,4237 Verona Rd,15147,40.466405,-79.865185,Dollar Menu\
Dairy Queen #13614,400 Lebanon Rd,15122,40.371391,-79.927532,Dollar Menu\
Dairy Queen Brazier #13599,1613 Freeport Rd,15065,40.621901,-79.727936,Dollar Menu\
Dairy Queen Grill & Chill #13605,2795 Clairton Blvd,15227,40.376066,-79.969628,Dollar Menu\
Dairy Queen Of Coraopolis,507 5th Ave,15108,40.521854,-80.17477,Dollar Menu\
Dairy Queen Of Greentree,2331 Noblestown Rd,15205,40.427662,-80.053643,Dollar Menu\
Dairy Queen Of Northern Pike,4251 Northern Pike,15146,40.434128,-79.756057,Dollar Menu\
Dairy Queen Of Perrysville,1039 Perry Hwy,15237,40.541666,-80.036216,Dollar Menu\
Dairy Queen of Scott,1000 Washington Ave,15106,40.398392,-80.08349,Dollar Menu\
Dairy Queen Of White Oak,1990 Lincoln Way,15131,40.337485,-79.809543,Dollar Menu\
Dairy Queen Orange Julius,1000 Ross Park Mall Dr,15237,40.538969,-80.007711,Dollar Menu\
Dairy Queen Orange Julius #41315,301 Hills Village Fc#7,15241,40.342623,-80.05617,Dollar Menu\
Danny's Pizza,4851 Clairton Blvd,15236,40.350007,-79.976336,Take Out\
Dannys Parkview Pizza,5159 Library Rd,15102,40.335214,-80.022875,Take Out\
DiBella's Old Fashioned Submarines,9030 St Simon Way,15237,40.569194,-80.024251,Take Out\
DiBellas Old Fashioned Submarines,6501 Steubenville Pike,15205,40.448034,-80.158727,Take Out\
DiBellas Old Fashioned Submarines,16 Market Pl,15222,40.440746,-80.001796,Take Out\
Domino's #9059,300 6th Ave,15222,40.441932,-80.001828,Take Out\
Domino's Pizza,1001 Carson St,15203,40.428923,-79.988402,Take Out\
Domino's Pizza,4848 William Flynn Hwy,15101,40.571191,-79.952845,Take Out\
Domino's Pizza #3275,3300 Saw Mill Run Blvd,15227,40.375278,-79.983706,Take Out\
Domino's Pizza #4709,2600 Ardmore Blvd,15221,40.413481,-79.84579,Take Out\
Domino's Pizza #4710,119 N Sheridan Ave,15206,40.461722,-79.923425,Take Out\
Domino's Pizza #9073,201 3rd St,15034,40.349548,-79.891425,Take Out\
Domino's Pizza #9074,1019 West View Park Dr,15229,40.51662,-80.035139,Take Out\
Domino's Pizza #9077,5816 Library Rd,15102,40.310089,-80.033478,Take Out\
Domino's Pizza #9082,1300 Brodhead Rd,15108,40.535015,-80.229455,Take Out\
Domino's Pizza #9087,11822 Frankstown Rd,15235,40.468905,-79.823594,Take Out\
Domino's Pizza #9130,4305 Northern Pike,15146,40.434006,-79.75319,Take Out\
Donut Connection,2414 Brownsville Rd,15210,40.386682,-79.982225,Breakfast/Drink/Other\
Donut Connection,1709 Eden Park Blvd,15132,40.347201,-79.831322,Breakfast/Drink/Other\
Donut Connection,7315 Saltsburg Rd,15235,40.477611,-79.787283,Breakfast/Drink/Other\
Donut Connection,2328 Freeport Rd,15065,40.630687,-79.716618,Breakfast/Drink/Other\
Donut Connection / Kaleidoscoops,5004 William Flynn Hwy,15044,40.631549,-79.952845,Breakfast/Drink/Other\
DQ Grill & Chill,2525 Monroeville Blvd,15146,40.432471,-79.751203,Dollar Menu\
DQ Orange Julius,200 Monroeville Mall Dr,15146,40.429183,-79.795459,Breakfast/Drink/Other\
Dunkin Donuts,553 Carnot Rd,15108,40.516458,-80.220609,Breakfast/Drink/Other\
